,dataset,ensemble,alpha,threshold,Labels,Time,n_clusters,real_n,accuracy,F1_score
0,wine,GMM_MCA,0.3,mean,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",9.0754654408,1,3,0.3314606742,0.1659634318
1,wine,GMM_Voting,0.3,mean,"[0 0 0 1 2 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
 1 0 2 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 2 3 3 3 3 2 3 3 2 2 0 3 3 0
 0 3 3 3 2 3 3 2 3 3 3 3 3 3 2 3 3 3 3 3 3 0 3 3 2 3 2 3 3 3 2 3 3 3 3 2 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 3 3 3 3 2 3 3 0 0 3 3
 2 3 3 3 3 2 3 2 3 0 2 3 3 2 3 2 3 3 2 2 2 3 3 3 2 2 2 0 0 3]",0.190320015,4,3,0.3258426966,0.289674523
2,wine,GMM_Pair,0.3,mean,"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 2 2 2 3 0 3 3 0 0 1 3 3 1
 1 3 3 3 0 3 3 0 2 2 2 2 3 2 0 3 3 3 3 3 3 1 3 3 0 3 0 3 3 3 0 3 3 3 3 0 3
 3 3 2 2 2 2 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 3 3 3 3 0 3 3 0 0 3 3
 0 3 3 2 3 0 3 0 3 1 0 3 2 0 2 0 2 2 0 0 0 2 2 2 0 0 0 0 0 2]",0.0331599712,4,3,0.1235955056,0.1238275613
3,wine,MM,0.3,mean,"[4 4 1 1 2 1 1 1 4 4 1 1 1 1 1 1 1 4 1 4 2 2 4 4 4 4 1 1 4 4 1 1 4 1 4 4 4
 4 4 2 2 4 4 3 4 4 4 4 4 1 1 1 1 1 4 4 4 1 1 3 3 3 3 3 3 3 3 3 2 2 4 3 3 4
 4 3 3 3 2 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 2 3 3 4 4 3 3
 3 3 3 3 3 3 3 2 3 4 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 2 2 4 4 3]",75.9282183647,4,3,0.0337078652,0.0375
4,wine,Voting,0.3,mean,"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]",0.0041146278,2,3,0.0561797753,0.0429072682
5,wine,Graph,0.3,mean,"[1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 2 1 1 0 0 1 1 0 1 1 1 1 1 1 0 0
 1 1 0 2 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 2 0 0 2 2 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 2 0 0 0 2 0 0 0 0 2 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 2 0 0 0 2 0 0 0 0 2 2 0 0 0 0]",0.461037159,3,3,0.106741573,0.1251388129
6,iris,GMM_MCA,0.3,mean,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]",8.4600145817,1,3,0.3333333333,0.1666666667
7,iris,GMM_Voting,0.3,mean,"[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 0 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 4 1 0 1 4 1 4 0
 0 0 0 0 0 1 1 1 1 4 1 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 4 0 0 0 1 1 1 0 1 0
 4 0 4 4 0 0 1 1 4 0 4 1 4 0 0 4 4 0 0 1 1 0 4 4 1 0 0 4 0 0 0 4 0 0 0 4 0
 0 4]",0.2174839973,4,3,0.1666666667,0.1176470588
8,iris,GMM_Pair,0.3,mean,"[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 1 3 2 3 1 3 1 1 3 1 3 1 3 3 1 3 1 3 1 3 3
 3 3 3 3 3 1 1 1 1 3 2 3 3 3 1 1 1 3 1 1 1 1 1 3 1 1 0 3 6 6 0 5 1 5 0 5 6
 3 0 3 3 6 6 5 5 3 0 3 5 3 0 0 3 3 6 0 5 5 6 3 3 5 6 6 3 0 0 6 3 0 0 6 3 6
 6 3]",0.0235629082,7,3,0.1533333333,0.0888030888
9,iris,MM,0.3,mean,"[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 7 2 7 2 7 2 7 2 2 7 2 7 2 7 6 2 7 2 6 2 6 7
 7 7 7 7 7 2 2 2 2 6 2 7 7 7 2 2 2 7 2 2 2 2 2 7 2 2 1 6 1 1 1 1 2 1 1 1 1
 6 1 6 6 1 1 1 1 6 1 6 1 6 1 1 6 6 1 1 1 1 1 6 6 1 1 1 6 1 1 1 6 1 1 1 6 1
 1 6]",253.1306903362,5,3,0.0066666667,0.0043859649
10,iris,Voting,0.3,mean,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 1 3 1 3 1 3 3 2 3 1 3 1 4 3 1 3 1 3 1 1
 1 1 1 1 1 3 3 3 3 1 3 1 1 2 3 3 3 1 3 3 3 3 3 2 3 3 1 1 1 1 1 5 3 5 1 5 1
 1 1 1 1 1 1 5 5 1 1 1 5 1 1 1 1 1 1 1 5 5 1 1 1 5 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]",0.0020544529,6,3,0.4733333333,0.2297297297
11,iris,Graph,0.3,mean,"[2 2 2 1 2 2 1 1 2 1 2 1 2 1 1 1 2 2 2 1 1 1 2 2 1 1 1 1 1 1 2 1 2 1 1 2 1
 2 2 1 1 1 1 2 1 1 2 2 1 1 6 6 6 4 6 4 6 2 6 4 4 6 4 6 4 6 5 4 6 4 5 4 5 6
 6 6 6 6 6 4 4 4 4 5 4 6 6 6 4 4 4 6 4 4 4 4 4 6 4 4 3 5 3 3 3 0 4 0 3 0 3
 5 3 5 5 3 3 0 0 5 3 5 0 5 3 3 5 5 3 3 0 0 3 5 5 0 3 3 5 3 3 3 5 3 3 3 5 3
 3 5]",0.3404295444,7,3,0,0
12,wine,GMM_MCA,0.3,0.1,"[0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0
 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",9.5668745041,2,3,0.1629213483,0.0933977456
13,wine,GMM_Voting,0.3,0.1,"[2 2 1 3 6 3 1 1 2 2 3 1 1 3 3 1 1 2 3 1 6 6 2 2 1 1 1 1 1 2 1 3 2 1 2 1 1
 2 2 6 6 2 2 6 1 2 2 2 2 1 3 1 1 1 2 2 2 1 1 0 6 0 4 7 7 6 0 0 6 6 1 7 0 2
 1 0 7 0 6 0 7 6 4 0 0 0 0 0 6 4 0 0 0 7 7 3 4 0 6 7 6 0 0 7 6 7 0 0 7 6 0
 7 7 0 7 7 0 7 7 0 4 0 7 7 7 7 7 0 7 7 4 0 0 7 4 6 6 0 7 7 7 6 0 0 1 1 7 4
 4 0 0 0 0 6 4 6 0 1 6 4 0 6 0 6 4 0 6 6 6 4 0 0 6 6 6 1 1 0]",0.3247153759,7,3,0.0112359551,0.0056022409
